★入賞条件/参考ボーダー★
プラチナトロフィー上位10位,173.2以上
ゴールドトロフィー上位10％,127.4以上
シルバートロフィー上位30％,97.4以上
ブロンズトロフィー上位70％,37.7以上

1305位,高宮 まり プロ,挑戦中
1407位,赤木 クロ プロ,挑戦中

順位,名前,段位,麻雀ファイトガールエメラルドPT 最終更新：2023/06/03 20:30時点のランキング
348位,TOTORO★,二段,114.1
349位,やまねこ,七段,114.1
350位,みはらだ,二段,114.0
351位,たつや,雀星Lv.2,114.0
352位,775ン,２級,113.9
353位,mutsuki,四段,113.9
354位,サブ・ゼロ,六段,113.7
355位,ECE116,五段,113.6
356位,ねこにん,１級,113.6
357位,えんがわ,５級,113.5
358位,はうざー,十段,113.5
359位,KEI,６級,113.4
360位,ぱぱんだ,雀星Lv.1,113.3
361位,やねんおやかた,四段,113.2
362位,あちふく,雀星Lv.5,113.2
363位,ザク,六段,113.1
364位,mlSO456,８級,113.0
365位,ホべつ4マン♪,雀星Lv.1,112.9
366位,イリヤ,四段,112.7
367位,いか,八段,112.7
368位,DN,７級,112.7
369位,ファイトガール,三段,112.6
370位,べりめと,六段,112.5
371位,kr976,雀星Lv.1,112.5
372位,しとみ,１級,112.5
373位,cbREV,１級,112.4
374位,しんや34,７級,112.3
375位,トネガワッ☆,雀星Lv.2,112.3
376位,たかぴー,七段,112.2
377位,ホームズ,二段,112.1
378位,パンチョ,雀星Lv.7,112.1
379位,E・K,１級,112.1
380位,YOSIO,雀星Lv.1,112.0
381位,おいちゃん,雀星Lv.2,112.0
382位,Ted_F,八段,111.6
383位,Noria,二段,111.5
384位,うみ,四段,111.3
385位,はるかわ,雀星Lv.5,111.3
386位,えくとりうむ,二段,111.3
387位,ZERO,１級,111.2
388位,TON,雀星Lv.20,110.9
389位,アリュベルカ,二段,110.9
390位,ファイトガール,二段,110.7
391位,うラキ,雀星Lv.2,110.7
392位,pえてちq,３級,110.5
393位,セイレン,二段,110.5
394位,PPDDLL,２級,110.5
395位,MEMちょ,雀星Lv.2,110.4
396位,キムショウ,雀星Lv.28,110.4
397位,KEN,１級,110.3
398位,わろし,３級,110.3
399位,こめいし,八段,110.3
400位,ファイトガール,雀星Lv.1,110.2
401位,JDK*,雀星Lv.7,110.1
402位,イーソウ,八段,110.1
403位,きょうそ,５級,110.0
404位,HAL,三段,110.0
405位,やまと,５級,109.9
406位,キラ946D,２級,109.9
407位,ユーコ,二段,109.8
408位,なす,雀星Lv.8,109.8
409位,〈＝∀＝〉,３級,109.6
410位,Cynthia,二段,109.5
411位,YKMK,８級,109.5
412位,よすす,初段,109.4
413位,ノーホーラ,雀星Lv.4,109.3
414位,ぼんず,５級,109.3
415位,14,初段,109.3
416位,Eclat,３級,109.2
417位,きー,８級,109.1
418位,natsume,八段,109.0
419位,ヂェニィ,八段,109.0
420位,れぷ,７級,109.0
421位,スティング,６級,108.9
422位,ファイトガール,雀星Lv.2,108.8
423位,ルル,七段,108.8
424位,FLOOR,六段,108.4
425位,ジョニ,７級,108.4
426位,214G,雀星Lv.5,108.2
427位,ミミヒメ,３級,108.2
428位,パル,四段,108.2
429位,ファイトガール,６級,108.1
430位,みきち3,５級,108.1
431位,メイヴァ,３級,108.0
432位,ゲン,七段,107.9
433位,クボちゃん,４級,107.8
434位,こゃーん,雀星Lv.18,107.8
435位,ノヴァネオ,１級,107.7
436位,TORA,五段,107.6
437位,Y・S,十段,107.5
438位,sabaku,五段,107.5
439位,セオン,３級,107.5
440位,ポポストア,雀星Lv.5,107.4
441位,あいやー,初段,107.4
442位,くらすべる,３級,107.3
443位,クロコロ,七段,107.3
444位,フリオーソ,１級,107.2
445位,アポリア,雀星Lv.14,107.1
446位,けにっく,１級,107.1
447位,アノア,五段,107.0
448位,とみたける,２級,107.0
449位,くろねこ,三段,107.0
450位,ツミレ,雀星Lv.2,107.0
451位,マサオ,７級,106.9
452位,かぐや,雀星Lv.3,106.8
453位,ツキモチ,３級,106.8
454位,ぎんじ,１級,106.7
455位,マサオツモル,２級,106.7
456位,よつね,雀星Lv.18,106.6
457位,くりすえす,４級,106.6
458位,NOE,五段,106.5
459位,リンクス,七段,106.5
460位,カンゲン,雀星Lv.1,106.3
461位,ニャモ,６級,106.3
462位,－589－,雀星Lv.7,106.2
463位,あ・け,２級,106.0
464位,しろすな,９級,106.0
465位,まとおんぬ,八段,105.9
466位,KEN,五段,105.9
467位,ωてんたつω,雀星Lv.3,105.8
468位,さくりゃん,四段,105.8
469位,あたまハピナス,２級,105.7
470位,ツバッチ,４級,105.7
471位,ファイトガール,４級,105.7
472位,ファイトガール,５級,105.7
473位,クロポトキン,７級,105.6
474位,sazabi,３級,105.5
475位,かぜ,６級,105.3
476位,かにチャーハン,２級,105.3
477位,うどん,五段,105.3
478位,ゴブリン,二段,105.2
479位,ガァララ,七段,105.2
480位,クジンシー,８級,105.2
481位,フジワラ,初段,105.1
482位,おてんきマップ,三段,105.1
483位,きじたろ,５級,104.9
484位,しおた,初段,104.9
