★入賞条件/参考ボーダー★,,,,
プラチナトロフィー上位10位,204.3以上,,,
ゴールドトロフィー上位10％,148.1以上,,,
シルバートロフィー上位30％,107.3以上,,,
ブロンズトロフィー上位70％,33.5以上,,,
,,,,
順位,名前,段位,アニバーサリーPT,麻雀ファイトガール最終更新：2024/04/20 16:30時点のランキング
473位,キリ,１級,133.4,
474位,ROLO,雀星Lv.17,133.3,
475位,AJ,十段,133.2,
476位,INKWELL,七段,133.1,
477位,うたまお,五段,133.1,
478位,Cynthia,雀星Lv.3,133.1,
479位,らたとすく,九段,133.1,
480位,ボンペペろうし,雀星Lv.5,133.1,
481位,にゃろめ*,６級,132.9,
482位,エムベル,雀星Lv.1,132.7,
483位,フルミネ,雀星Lv.2,132.4,
484位,ひろPON,雀星Lv.20,132.4,
485位,あきつしま,九段,132.3,
486位,AZAYAKA,二段,132.1,
487位,Ken,雀星Lv.5,132.1,
488位,LON,雀星Lv.5,132.1,
489位,E747549,雀星Lv.3,131.9,
490位,XY02,雀星Lv.3,131.9,
491位,ファイトガール,雀星Lv.2,131.8,
492位,ナウなヤング,雀星Lv.10,131.7,
493位,Solute,初段,131.7,
494位,かきごおりR,雀星Lv.5,131.7,
495位,STeiou,雀星Lv.42,131.7,
496位,Y－08,八段,131.7,
497位,ファイトガール,雀星★★Lv.7,131.5,
498位,イグニス,雀星Lv.10,131.5,
499位,そて,雀星Lv.7,131.4,
500位,ファイトガール,雀星Lv.2,131.3,
