,,,,,
,,,,,
順位,名前,段位,KACPT,麻雀ファイトガール最終更新：2023/10/01 19:20時点のランキング,
001位,タテナオリ・セン,総合スコア 563.7,JAKE雀星Lv.5,個人スコア341.8,ファイトガールスコア221.9
002位,トイトイ,総合スコア 552.5,ぐでかご雀星Lv.68,個人スコア324.9,ファイトガールスコア227.6
003位,アマト・テンシ,総合スコア 550.5,しあるん雀星Lv.97,個人スコア320.3,ファイトガールスコア230.2
004位,パイン,総合スコア 542.0,せが雀星Lv.38,個人スコア334.0,ファイトガールスコア208.0
005位,ナナツノ・ツミレ,総合スコア 534.5,DESSA雀星Lv.14,個人スコア321.3,ファイトガールスコア213.2
006位,ヤワラギ・ヒヨリ,総合スコア 526.4,うおたみ雀星Lv.26,個人スコア316.6,ファイトガールスコア209.8
007位,ゼツバミ・ヤオ,総合スコア 522.9,SKコマチ雀星★Lv.7,個人スコア297.6,ファイトガールスコア225.3
008位,藤崎詩織,総合スコア 515.6,ひでじ雀星Lv.76,個人スコア351.5,ファイトガールスコア164.1
009位,クニノカミ・ムサシ,総合スコア 509.9,ぽむ十段,個人スコア287.7,ファイトガールスコア222.2
010位,アンコク・ミツバ,総合スコア 503.2,ミント雀星Lv.24,個人スコア284.3,ファイトガールスコア218.9
017位,タルぜん,雀星Lv.9,221.6,,
018位,ももはな,雀星Lv.43,215,,
019位,cocoa,雀星Lv.5,211.5,,
020位,*TONY*,雀星Lv.3,210.3,,
021位,ねこけんし,四段,210.1,,
022位,にゃにゃ,雀星Lv.10,210,,
023位,すかこ,七段,207.1,,
024位,くろへい,雀星Lv.9,206.7,,
025位,カラテカバリュ,雀星Lv.3,200.1,,
026位,ぷらむ,雀星Lv.2,199.8,,
027位,コウーザ,雀星Lv.3,198.3,,
028位,おれれれ！,三段,195.1,,
029位,ケビン,七段,193.9,,
030位,DDRKOJI,１級,192.8,,
031位,ファイトガール,十段,189.4,,
032位,ててたろう,雀星Lv.3,189.1,,
033位,どかべん,雀星Lv.9,188,,
034位,クボちゃん,初段,183.4,,
035位,ツナから,初段,182.1,,
036位,ファイトガール,雀星Lv.2,179.9,,
037位,ファイトガール,七段,179.3,,
038位,クロコロ,雀星Lv.1,179,,
039位,ON,５級,173.6,,
040位,ぎんじ,十段,169,,
041位,なぞのひと,三段,168.2,,
042位,ru38,二段,168.1,,
043位,ehyai,六段,166.5,,
044位,タマQ,四段,164.4,,
045位,SYUMON♪,五段,161.9,,
046位,K_T_K_,初段,161.4,,
047位,ひなたん,雀星Lv.7,157.5,,
048位,だっしー,６級,154.8,,
049位,さつきばれ,雀星Lv.4,153.8,,
050位,A,５級,151.9,,
個別ランキング藤崎詩織,,,,,
001位,ひでじ,雀星Lv.76,351.5,,
002位,ゆゆ,雀星Lv.5,284.4,,
003位,いそぱん,雀星Lv.28,243.9,,
004位,おいちゃん,雀星Lv.10,239.9,,
005位,ぴーくん☆,雀星Lv.28,234.7,,
006位,RURIO,雀星Lv.16,233.1,,
007位,シンゾー,雀星Lv.11,231.7,,
008位,ガァララ,雀星Lv.13,228.7,,
009位,ナッツ,雀星Lv.27,204,,
010位,いしばしのネコ,雀星Lv.1,202.7,,
011位,やるんさくさ,七段,187.9,,
012位,うきょう,七段,182.4,,
013位,ヤンマス,２級,181.5,,
